Symbol,Price,Date,Time,Change,Volume
CPA,719.5,14/12/2021,02:41:33,36,62
FYH,961.0,14/12/2021,02:44:53,38,141
SCS,313.5,14/12/2021,02:52:12,88,176
RKW,531.0,14/12/2021,02:53:30,26,869
ZJV,780.5,14/12/2021,03:00:22,133,269
UNR,587.5,14/12/2021,03:06:24,41,722
YYH,603.0,14/12/2021,03:07:51,23,606
YYH,931.0,14/12/2021,03:13:40,111,823
APK,783.5,14/12/2021,03:21:36,167,117
EBV,28.5,14/12/2021,03:25:08,114,686
UNR,727.0,14/12/2021,03:33:23,9,288
LUJ,584.5,14/12/2021,03:41:29,59,686
LUJ,570.5,14/12/2021,03:44:20,92,9
APK,353.0,14/12/2021,03:46:41,28,259
RKW,581.5,14/12/2021,03:47:31,156,765
YYH,642.0,14/12/2021,03:49:48,183,187
DAX,52.5,14/12/2021,03:57:21,79,419
FYH,825.0,14/12/2021,04:05:19,183,102
LRF,123.0,14/12/2021,04:06:44,185,914
UMH,32.0,14/12/2021,04:13:07,74,11
OZH,402.0,14/12/2021,04:16:17,1,621
HZU,278.0,14/12/2021,04:19:14,15,567
CPA,856.0,14/12/2021,04:24:13,68,888
JBU,81.0,14/12/2021,04:25:18,7,481
UMH,884.0,14/12/2021,04:27:38,158,182
FYH,723.5,14/12/2021,04:31:51,91,261
APK,922.0,14/12/2021,04:36:15,154,834
APK,210.0,14/12/2021,04:37:23,113,851
UMH,863.5,14/12/2021,04:39:06,96,232
UNR,122.5,14/12/2021,04:41:45,148,758
FHW,976.5,14/12/2021,04:43:24,103,722
LRF,242.0,14/12/2021,04:46:33,81,82
UMH,520.5,14/12/2021,04:49:00,176,684
RKW,58.0,14/12/2021,04:52:32,149,989
YYH,326.0,14/12/2021,04:59:47,56,938
MEU,183.0,14/12/2021,05:07:47,103,602
NNB,175.5,14/12/2021,05:09:56,144,74
RKW,702.5,14/12/2021,05:14:24,91,221
MEU,273.5,14/12/2021,05:18:14,44,421
LUJ,437.0,14/12/2021,05:24:46,123,131
YYH,251.0,14/12/2021,05:28:49,42,894
DAX,357.5,14/12/2021,05:30:04,144,26
YYH,228.0,14/12/2021,05:30:17,59,906
LRF,64.0,14/12/2021,05:31:45,30,445
MXL,356.5,14/12/2021,05:33:38,111,12
FYH,176.5,14/12/2021,05:41:43,188,104
RKW,130.0,14/12/2021,05:46:51,77,147
DAX,579.5,14/12/2021,05:47:04,12,462
RKW,259.0,14/12/2021,05:50:24,104,788
FHW,708.0,14/12/2021,05:52:30,190,757
UMH,82.0,14/12/2021,05:57:09,34,836
MXL,295.5,14/12/2021,05:58:42,6,171
DAX,237.5,14/12/2021,05:58:55,164,939
FYH,622.5,14/12/2021,06:03:17,31,304
DAX,957.0,14/12/2021,06:04:33,94,267
UMH,420.0,14/12/2021,06:11:22,57,555
YYH,950.5,14/12/2021,06:12:39,64,140
APK,390.5,14/12/2021,06:15:36,111,9
EBV,501.0,14/12/2021,06:19:07,127,943
RKW,605.5,14/12/2021,06:27:07,138,207
DAX,609.5,14/12/2021,06:27:56,46,328
OZH,561.5,14/12/2021,06:29:30,139,138
JBU,105.5,14/12/2021,06:29:45,18,758
RXU,154.0,14/12/2021,06:31:29,65,39
OZH,281.0,14/12/2021,06:34:22,166,97
UNR,931.0,14/12/2021,06:42:29,96,857
DAX,654.5,14/12/2021,06:48:24,109,246
DAX,808.5,14/12/2021,06:52:50,71,766
LUJ,242.0,14/12/2021,06:55:31,122,893
FYH,25.5,14/12/2021,06:59:32,29,170
DAX,138.0,14/12/2021,07:03:08,174,536
DAX,33.5,14/12/2021,07:05:42,93,220
LRF,716.0,14/12/2021,07:08:35,90,624
JBU,547.0,14/12/2021,07:11:59,135,195
YWH,640.5,14/12/2021,07:16:14,31,672
OZH,172.0,14/12/2021,07:16:21,67,921
EBV,299.5,14/12/2021,07:21:08,90,138
NNB,718.5,14/12/2021,07:22:04,189,188
JBU,81.5,14/12/2021,07:29:59,148,201
UMH,282.0,14/12/2021,07:37:02,98,32
DZK,49.5,14/12/2021,07:40:00,118,846
VNL,811.5,14/12/2021,07:46:22,144,614
YYH,769.0,14/12/2021,07:48:59,177,115
ZJV,25.0,14/12/2021,07:50:57,117,878
UNR,282.5,14/12/2021,07:56:11,155,50
VNL,121.0,14/12/2021,07:57:02,115,120
HZU,538.0,14/12/2021,08:02:51,123,228
RKW,373.5,14/12/2021,08:05:33,68,157
EBV,252.5,14/12/2021,08:08:10,71,692
YYH,179.5,14/12/2021,08:13:50,32,798
DZK,580.5,14/12/2021,08:19:24,125,292
VNL,223.5,14/12/2021,08:20:15,91,226
RKW,174.0,14/12/2021,08:24:51,160,231
CPA,892.0,14/12/2021,08:31:27,158,48
VNL,387.0,14/12/2021,08:31:50,89,730
UMH,195.5,14/12/2021,08:36:06,103,405
NNB,251.5,14/12/2021,08:41:27,57,965
MXL,215.5,14/12/2021,08:44:11,100,246
CZW,30.0,14/12/2021,08:44:36,187,558
APK,590.5,14/12/2021,08:50:45,81,511
OZH,261.5,14/12/2021,08:58:08,82,790
ZJV,144.0,14/12/2021,08:59:17,141,644
FYH,734.5,14/12/2021,09:06:18,53,214
OZH,968.0,14/12/2021,09:07:33,54,381
YWH,469.5,14/12/2021,09:12:34,143,410
CPA,682.5,14/12/2021,09:19:02,46,636
FHW,792.5,14/12/2021,09:21:25,36,181
MEU,384.5,14/12/2021,09:27:19,13,905
LUJ,338.5,14/12/2021,09:31:03,193,373
APK,805.5,14/12/2021,09:34:42,117,295
LUJ,793.0,14/12/2021,09:38:27,176,91
CPA,682.5,14/12/2021,09:38:57,36,287
DAX,991.5,14/12/2021,09:42:06,185,387
ZJV,634.5,14/12/2021,09:42:53,197,26
OZH,145.5,14/12/2021,09:45:17,35,373
CZW,268.5,14/12/2021,09:53:10,49,947
CPA,170.5,14/12/2021,09:53:50,174,666
VNL,977.5,14/12/2021,10:00:53,69,290
CPA,864.5,14/12/2021,10:06:18,49,975
HZU,261.5,14/12/2021,10:09:48,63,636
LRF,834.0,14/12/2021,10:12:57,4,204
RXU,589.5,14/12/2021,10:20:55,83,375
SCS,937.5,14/12/2021,10:21:58,182,635
RKW,156.5,14/12/2021,10:28:00,24,700
LUJ,306.0,14/12/2021,10:32:27,157,773
ZJV,995.0,14/12/2021,10:36:43,149,620
NNB,467.0,14/12/2021,10:40:46,192,931
JBU,708.5,14/12/2021,10:44:45,147,611
FYH,773.5,14/12/2021,10:52:29,191,911
YWH,177.5,14/12/2021,11:00:46,171,125
RXU,179.0,14/12/2021,11:08:17,84,465
LUJ,895.0,14/12/2021,11:10:33,143,947
YWH,405.0,14/12/2021,11:10:42,11,900
UMH,618.0,14/12/2021,11:17:57,177,957
APK,728.5,14/12/2021,11:26:04,67,192
MEU,235.0,14/12/2021,11:33:41,45,77
CPA,327.5,14/12/2021,11:34:41,4,965
UNR,122.0,14/12/2021,11:39:01,75,756
LRF,241.0,14/12/2021,11:44:46,78,895
CPA,43.0,14/12/2021,11:49:21,154,234
UNR,902.5,14/12/2021,11:54:13,164,725
CZW,645.5,14/12/2021,11:57:50,37,384
RXU,157.0,14/12/2021,11:59:08,64,112
DAX,572.5,14/12/2021,12:02:52,64,707
MEU,511.0,14/12/2021,12:08:08,77,528
LRF,949.5,14/12/2021,12:16:23,50,541
OZH,528.0,14/12/2021,12:21:21,47,8
DAX,854.0,14/12/2021,12:25:58,137,231
DZK,275.5,14/12/2021,12:26:56,113,519
RXU,31.5,14/12/2021,12:30:56,155,535
HZU,304.5,14/12/2021,12:34:31,126,819
APK,332.0,14/12/2021,12:37:00,26,128
HZU,412.5,14/12/2021,12:43:58,86,171
LRF,965.0,14/12/2021,12:50:42,59,772
OZH,200.5,14/12/2021,12:57:21,169,507
RKW,915.0,14/12/2021,12:58:17,180,229
FYH,240.0,14/12/2021,13:04:58,179,587
DZK,73.5,14/12/2021,13:07:37,63,431
APK,108.0,14/12/2021,13:14:15,35,358
ZJV,719.5,14/12/2021,13:20:34,76,295
UNR,88.0,14/12/2021,13:26:58,150,106
UNR,668.5,14/12/2021,13:32:01,183,84
UMH,660.0,14/12/2021,13:35:31,195,511
FYH,498.5,14/12/2021,13:37:14,103,40
OZH,182.5,14/12/2021,13:38:17,191,302
JBU,31.5,14/12/2021,13:45:11,185,27
LRF,842.5,14/12/2021,13:46:29,52,272
RKW,834.0,14/12/2021,13:47:59,134,961
LUJ,989.0,14/12/2021,13:52:42,106,447
CZW,890.5,14/12/2021,13:57:40,121,447
RKW,973.0,14/12/2021,13:59:46,99,138
RXU,570.0,14/12/2021,14:06:21,26,295
LUJ,770.0,14/12/2021,14:11:37,53,432
CPA,59.0,14/12/2021,14:16:22,177,214
RXU,969.5,14/12/2021,14:19:00,77,46
MEU,446.0,14/12/2021,14:20:50,7,932
RXU,864.5,14/12/2021,14:24:14,88,849
HZU,38.5,14/12/2021,14:32:22,35,244
FYH,816.0,14/12/2021,14:34:59,32,673
UMH,491.0,14/12/2021,14:36:05,122,814
YWH,419.0,14/12/2021,14:36:38,107,809
EBV,545.5,14/12/2021,14:38:27,134,689
YWH,622.5,14/12/2021,14:39:46,17,617
JBU,248.5,14/12/2021,14:43:16,79,796
EBV,44.5,14/12/2021,14:45:53,116,748
JBU,855.0,14/12/2021,14:53:49,143,167
MXL,148.0,14/12/2021,14:56:38,18,693
UMH,149.0,14/12/2021,15:02:14,136,944
YWH,715.0,14/12/2021,15:05:23,159,575
APK,542.5,14/12/2021,15:07:50,19,93
NNB,929.5,14/12/2021,15:09:13,20,179
FHW,268.5,14/12/2021,15:09:26,164,542
LUJ,239.0,14/12/2021,15:10:53,198,394
MEU,877.0,14/12/2021,15:12:30,120,838
FHW,739.0,14/12/2021,15:20:40,86,255
UMH,120.5,14/12/2021,15:23:37,58,360
RXU,601.0,14/12/2021,15:31:04,108,391
RXU,369.5,14/12/2021,15:39:09,43,674
DZK,871.0,14/12/2021,15:40:17,49,805
VNL,530.0,14/12/2021,15:42:14,172,147
YYH,359.5,14/12/2021,15:42:31,186,229
LUJ,155.5,14/12/2021,15:47:23,169,361
VNL,279.5,14/12/2021,15:48:46,132,901
RXU,239.5,14/12/2021,15:57:01,45,662
RKW,705.0,14/12/2021,16:03:12,63,898
OZH,866.0,14/12/2021,16:06:39,111,608
MEU,393.0,14/12/2021,16:09:38,122,676
MXL,472.0,14/12/2021,16:15:15,72,926
EBV,208.0,14/12/2021,16:22:14,68,188
LRF,669.0,14/12/2021,16:30:25,166,860
CPA,49.0,14/12/2021,16:37:54,16,63
FHW,656.0,14/12/2021,16:44:59,66,527
UMH,46.0,14/12/2021,16:47:36,2,970
YWH,343.5,14/12/2021,16:52:39,24,11
DAX,583.0,14/12/2021,16:56:30,88,476
DAX,957.5,14/12/2021,17:00:51,34,148
CZW,360.0,14/12/2021,17:02:12,45,871
YYH,256.5,14/12/2021,17:08:20,91,202
RXU,689.5,14/12/2021,17:12:07,177,666
VNL,513.0,14/12/2021,17:14:29,33,606
OZH,360.0,14/12/2021,17:20:57,48,821
CZW,609.0,14/12/2021,17:24:35,180,435
JBU,731.0,14/12/2021,17:30:15,184,606
YWH,839.0,14/12/2021,17:32:05,142,476
APK,362.0,14/12/2021,17:38:08,5,910
RKW,165.5,14/12/2021,17:45:50,48,991
ZJV,211.0,14/12/2021,17:50:20,12,443
LRF,567.0,14/12/2021,17:50:26,100,96
HZU,124.5,14/12/2021,17:51:26,19,344
LRF,630.5,14/12/2021,17:56:54,97,297
SCS,296.5,14/12/2021,17:57:35,91,467
APK,659.0,14/12/2021,18:04:34,178,306
NNB,926.5,14/12/2021,18:09:31,183,62
DZK,470.0,14/12/2021,18:11:13,62,924
FHW,147.5,14/12/2021,18:14:51,191,44
OZH,428.0,14/12/2021,18:18:47,128,227
UNR,889.5,14/12/2021,18:21:19,50,73
FYH,915.5,14/12/2021,18:28:09,46,766
NNB,684.5,14/12/2021,18:33:17,62,983
UMH,705.0,14/12/2021,18:33:27,137,373
DZK,183.0,14/12/2021,18:36:46,53,174
SCS,560.5,14/12/2021,18:37:23,56,697
YWH,683.0,14/12/2021,18:39:40,94,150
YWH,117.0,14/12/2021,18:42:46,87,497
VNL,386.0,14/12/2021,18:48:04,41,219
CZW,722.0,14/12/2021,18:55:32,110,158
YWH,599.5,14/12/2021,19:02:48,122,806
YYH,136.5,14/12/2021,19:05:10,154,90
NNB,715.0,14/12/2021,19:08:21,84,693
LUJ,310.0,14/12/2021,19:09:38,179,777
CPA,828.0,14/12/2021,19:15:11,112,306
CZW,618.5,14/12/2021,19:17:28,83,188
VNL,797.0,14/12/2021,19:23:36,39,897
APK,969.5,14/12/2021,19:30:19,105,947
JBU,866.0,14/12/2021,19:36:42,98,538
EBV,219.0,14/12/2021,19:44:59,141,936
APK,819.0,14/12/2021,19:46:36,10,341
ZJV,543.5,14/12/2021,19:51:48,89,425
RKW,453.0,14/12/2021,19:52:46,24,885
HZU,701.0,14/12/2021,19:58:07,131,643
CPA,965.5,14/12/2021,20:01:54,28,162
RXU,974.0,14/12/2021,20:05:41,86,325
UMH,232.5,14/12/2021,20:13:06,103,152
RKW,224.0,14/12/2021,20:14:57,168,998
UNR,739.0,14/12/2021,20:19:31,65,821
CZW,32.0,14/12/2021,20:26:38,99,139
RKW,151.5,14/12/2021,20:30:29,196,306
LUJ,398.5,14/12/2021,20:38:17,23,335
SCS,419.5,14/12/2021,20:38:58,74,764
OZH,645.0,14/12/2021,20:42:30,103,634
CPA,718.5,14/12/2021,20:43:58,148,143
EBV,827.5,14/12/2021,20:49:19,169,610
DAX,246.5,14/12/2021,20:51:45,180,560
OZH,543.0,14/12/2021,20:54:26,131,732
YYH,886.5,14/12/2021,20:56:28,115,630
EBV,488.5,14/12/2021,21:01:38,47,853
CZW,514.0,14/12/2021,21:05:39,21,887
ZJV,762.0,14/12/2021,21:13:39,11,383
RKW,219.0,14/12/2021,21:16:37,110,762
RKW,754.5,14/12/2021,21:16:57,56,965
CZW,325.5,14/12/2021,21:17:18,12,309
RXU,274.0,14/12/2021,21:18:02,76,746
HZU,77.5,14/12/2021,21:24:54,10,59
FHW,148.0,14/12/2021,21:32:11,29,42
MEU,531.0,14/12/2021,21:37:34,181,736
SCS,524.0,14/12/2021,21:41:11,111,825
YYH,678.5,14/12/2021,21:45:15,95,803
DZK,252.5,14/12/2021,21:47:18,160,95
DAX,567.5,14/12/2021,21:47:23,184,15
FYH,801.0,14/12/2021,21:48:44,77,455
APK,789.5,14/12/2021,21:55:38,92,831
CZW,428.0,14/12/2021,21:56:38,145,714
DAX,809.5,14/12/2021,22:04:03,129,754
DAX,931.5,14/12/2021,22:11:05,94,618
HZU,701.0,14/12/2021,22:12:05,112,46
YWH,39.0,14/12/2021,22:14:42,102,212
OZH,225.0,14/12/2021,22:21:35,197,163
LRF,213.5,14/12/2021,22:22:36,39,492
CZW,947.5,14/12/2021,22:22:38,9,588
YWH,950.0,14/12/2021,22:29:06,71,539
